name,color,region,link,party,marker,factor_1,factor_2
Torsten Gejl,#2b8738,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/7-torsten-gejl,Alternativet,Å,5.325479864108444,0.37814390294483535
Torsten Ringgaard,#e6801a,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/893-torsten-ringgaard,Enhedslisten – De Rød-Grønne,Ø,5.701623002500953,0.9810463540051511
Torsten Schack Pedersen,#254264,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/525-torsten-schack-pedersen,"Venstre, Danmarks Liberale Parti",V,-3.5181998303163873,-0.11365508758425547
Trine Bramsen,#a82721,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/801-trine-bramsen,Socialdemokratiet,A,1.1476384440151695,1.4494749025411306
Trine Pertou Mach,#e6801a,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/272-trine-pertou-mach,Enhedslisten – De Rød-Grønne,Ø,5.534272117957969,1.0307823627399781
Trine Trærup Roungkvist,#96b226,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/137-trine-traerup-roungkvist,Det Konservative Folkeparti,C,-4.387564896441867,-1.3148001423194184
Troels Brandt,#733280,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/269-troels-brandt,Radikale Venstre,B,2.003534928982123,-1.535946939910599
Troels Christian Jakobsen,#2b8738,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/39-troels-christian-jakobsen,Alternativet,Å,3.947270288273293,-0.3290093039487252
Troels Stru Schmidt,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/382-troels-stru-schmidt,SF - Socialistisk Folkeparti,F,3.3987173036994447,0.36562656681742556
Ulf Helgstrand,#b48cd2,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/623-ulf-helgstrand,Moderaterne,M,-1.4910876488532339,-2.296070051052871
Ulla Kokfelt,#127b7f,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/161-ulla-kokfelt,Nye Borgerlige,D,-4.607602603360685,2.128433603942326
Ulla Munksgaard,#2b8738,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/35-ulla-munksgaard,Alternativet,Å,3.663430263610827,0.3607782396410159
Ulrich Fredberg,#254264,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/566-ulrich-fredberg,"Venstre, Danmarks Liberale Parti",V,-0.9948706065200511,0.19685796129917163
Ulrik Lassen,#127b7f,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/157-ulrik-lassen,Nye Borgerlige,D,-4.755848488779333,2.166829055585172
Vibeke Brønnum,#7896d2,Bornholms Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/979-vibeke-broennum,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-2.7369146076792736,1.0843261766241084
Vibeke Syppli Enrum,#e6801a,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/892-vibeke-syppli-enrum,Enhedslisten – De Rød-Grønne,Ø,5.271874076773887,0.8790150367763647
Victor Horsted,#3fb2be,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/358-victor-horsted,Liberal Alliance,I,-2.9703769346251616,-3.501599148488005
Victoria Bøgh Salo,#e6801a,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/895-victoria-boegh-salo,Enhedslisten – De Rød-Grønne,Ø,5.032175418257187,0.27265338536466655
Victoria Velasquez,#e6801a,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/276-victoria-velasquez,Enhedslisten – De Rød-Grønne,Ø,5.654688251413049,1.0785900415828753
Vinni Kjærgaard Jørgensen,#2b8738,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/10-vinni-kjaergaard-joergensen,Alternativet,Å,3.989370545698166,-0.7570298319030943
Vivi Altenburg,#7896d2,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/719-vivi-altenburg,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-3.039410163808747,2.745664069079323
Vivi Nør Jacobsen,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/383-vivi-noer-jacobsen,SF - Socialistisk Folkeparti,F,4.077051022539812,0.589602024945921
Vivian Lindberg Larsen,#7896d2,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/959-vivian-lindberg-larsen,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-3.11809587006332,1.5377899724672162
Wanda Madsen,#e07ea8,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/709-wanda-madsen,SF - Socialistisk Folkeparti,F,4.746085702246197,1.3544532734137746
Xenia Anderson,#5abe82,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1025-xenia-anderson,Frie Grønne,Q,5.028614948476498,-0.9348780209463583
Yadvinder Singh Sekhon,#5abe82,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/666-yadvinder-singh-sekhon,Frie Grønne,Q,4.997194881267242,-0.5857477139221648
Yildiz Akdogan,#a82721,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/821-yildiz-akdogan,Socialdemokratiet,A,2.485817989730533,-0.5559416481960049
Zenia Stampe,#733280,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/270-zenia-stampe,Radikale Venstre,B,2.8889797787685954,-1.5618321032952973
Øjvind Vilsholm,#e6801a,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/858-oejvind-vilsholm,Enhedslisten – De Rød-Grønne,Ø,4.8449962957928685,1.1377862456672252
