name,color,region,link,party,marker,factor_1,factor_2
Sander Patrick Larsen,#3fb2be,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/298-sander-patrick-larsen,Liberal Alliance,I,-3.0055055065207226,-1.9247187909826344
Sandra Elisabeth Skalvig,#3fb2be,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/294-sandra-elisabeth-skalvig,Liberal Alliance,I,-4.44682962658722,-1.7332564239983832
Sara Emil Baaring,#a82721,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/753-sara-emil-baaring,Socialdemokratiet,A,1.6644073177768721,0.9971423253727472
Sara Hvidbak Grouleff,#5abe82,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1021-sara-hvidbak-grouleff,Frie Grønne,Q,4.95002461128862,-0.40830027067901675
Sarah Nørris,#e6801a,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/897-sarah-noerris,Enhedslisten – De Rød-Grønne,Ø,5.87744013311498,2.1297030583829213
Sarah Roued Thomsen,#2b8738,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1003-sarah-roued-thomsen,Alternativet,Å,5.001866037794148,-0.04172526523961965
Sascha Faxe,#2b8738,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1065-sascha-faxe,Alternativet,Å,3.4776679968929476,-1.7961979330940496
Sazan Garmiyani,#5abe82,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/987-sazan-garmiyani,Frie Grønne,Q,3.5773992544746034,-0.5422558429416297
Sebastian Larvad,#96b226,Bornholms Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/78-sebastian-larvad,Det Konservative Folkeparti,C,-1.975152041593679,-0.16956442816380726
Sebastian Mylsted-Schenstrøm,#7896d2,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/731-sebastian-mylsted-schenstroem,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-3.213525307142791,3.0489662421328565
Sebastian Schwartz,#a82721,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/771-sebastian-schwartz,Socialdemokratiet,A,1.8864830986105607,0.8318162370711893
Selma Bolø,#e6801a,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/899-selma-boloe,Enhedslisten – De Rød-Grønne,Ø,5.50114667418448,0.7911357539216398
Serdal Benli,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/381-serdal-benli,SF - Socialistisk Folkeparti,F,3.912622450956924,1.1445750118745903
Sidsel Dyekjær,#2b8738,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/46-sidse-dyekjaer,Alternativet,Å,4.341013649617545,-0.3650771686371204
Siff Tang Lassen,#96b226,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/136-siff-tang-lassen,Det Konservative Folkeparti,C,-4.370955537896842,0.10902675739787572
Signe Driefer,#733280,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/262-signe-driefer,Radikale Venstre,B,2.022073030305868,-1.3423029267938849
Signe Munk,#e07ea8,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/426-signe-munk,SF - Socialistisk Folkeparti,F,4.566376581150907,1.2613743116180978
Signe Vedersø Keldorff,#eac73e,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/651-signe-vedersoe-keldorff,Dansk Folkeparti,O,-3.1790816318799076,4.15800122935181
Sigurd Agersnap,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/701-sigurd-agersnap,SF - Socialistisk Folkeparti,F,4.520401402017483,0.0019956971334223893
Sikander Siddique,#5abe82,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/654-sikander-saddique,Frie Grønne,Q,5.087590095839411,0.14252641748525882
Silje Brynildsen,#e07ea8,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/702-silje-brynildsen,SF - Socialistisk Folkeparti,F,4.650306595697126,-0.32309421896170537
Silke Anna Hein,#3fb2be,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/332-silke-anna-hein,Liberal Alliance,I,-2.826603406583447,-1.947977144628244
Simon Hampe,#eac73e,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/652-simon-hampe-soerensen,Dansk Folkeparti,O,-2.971252943388591,4.010487734290496
Simon Karim Helledie,#3fb2be,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/336-simon-karim-helledie,Liberal Alliance,I,-3.112840968416164,-1.2973138173449024
Simon Kollerup,#a82721,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/825-simon-kollerup,Socialdemokratiet,A,-1.8333820230065994,1.1651565939378143
Simon Lavdal-Pedersen,#8b8474,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1039-simon-lavdal-pedersen,Kristendemokraterne,K,-0.45608722775944943,-0.21887854430969778
Simon Nyborg Jensen,#2b8738,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/27-simon-nyborg-jensen,Alternativet,Å,5.04743973141349,-0.42042926623047727
Sinem Demir,#e6801a,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/278-sinem-demir,Enhedslisten – De Rød-Grønne,Ø,4.85706672452185,0.7878387398792346
Sinus Kremmer,#3fb2be,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/334-sinus-kremmer,Liberal Alliance,I,-4.704673006221834,-1.875809983041943
Sofie Carsten Nielsen,#733280,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/263-sofie-carsten-nielsen,Radikale Venstre,B,1.4059649184950913,-2.5895633753367453
Sofie Falck Villadsen,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/704-sofie-falck-villadsen,SF - Socialistisk Folkeparti,F,4.404913198625119,0.5020259179272737
Sofie Groth,#2b8738,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1055-sofie-groth,Alternativet,Å,3.20118764727358,-1.0218728133441157
Sofie Lippert,#e07ea8,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/419-sofie-lippert-troelsen,SF - Socialistisk Folkeparti,F,5.166036708911825,-0.20752951134252884
Sophie Løhde,#254264,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/529-sophie-loehde,"Venstre, Danmarks Liberale Parti",V,-2.466037233666364,-0.5637462050832043
Steen Frandsen,#a82721,Bornholms Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/745-steen-frandsen,Socialdemokratiet,A,-0.10692793473514037,1.802994560828961
Steen Holm Iversen,#96b226,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/142-steen-holm-iversen,Det Konservative Folkeparti,C,-3.4890762643822066,-1.0081558964657111
Stefan Rundstrøm,#e6801a,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/856-stefan-rundstroem,Enhedslisten – De Rød-Grønne,Ø,4.074893873989738,1.0305168276712153
Stefan Skrubbeltrang,#e07ea8,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/387-stefan-skrubbeltrang,SF - Socialistisk Folkeparti,F,2.9387368541291483,-1.1691043835456936
Steffen Frølund,#3fb2be,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/360-steffen-froelund,Liberal Alliance,I,-4.1928375092624375,-2.660593380110209
Steffen Holme Helledie,#733280,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/264-steffen-holme-helledie,Radikale Venstre,B,1.465283196367214,-1.8951414889014881
Steffen Jespersen,#3fb2be,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/329-steffen-jespersen,Liberal Alliance,I,-4.156359954579612,-1.7321818882322613
Steffen Larsen,#3fb2be,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/335-steffen-larsen,Liberal Alliance,I,-4.3388802805738145,-2.1350698007760176
Steffen Markussen,#8b8474,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/937-steffen-markussen,Kristendemokraterne,K,-1.6074475418307885,-2.0491371551715707
Steffen Peter Hansen,#96b226,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/150-steffen-peter-hansen,Det Konservative Folkeparti,C,-2.955371267143384,-0.09393600866600565
Steffen Sjørslev,#3fb2be,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/363-steffen-sjoerslev,Liberal Alliance,I,-4.525327702878439,-2.6188261067829077
Steffen Troldtoft,#3fb2be,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/317-steffen-troldtoft,Liberal Alliance,I,-4.4055204090175355,-1.3318530215555064
Stephan Arnold,#254264,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/574-stephan-arnold,"Venstre, Danmarks Liberale Parti",V,-2.9546698380405134,-0.37702038264363286
Stine Isaksen,#2b8738,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/19-stine-isaksen,Alternativet,Å,4.602534160434823,-0.8204484887505152
Stine Maureen Rosenquist,#b48cd2,Bornholms Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/624-stine-maureen-rosenquist,Moderaterne,M,1.0105599275827117,-1.1981020824394728
Stine Rahbek Pedersen,#e6801a,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/857-stine-rahbek-pedersen,Enhedslisten – De Rød-Grønne,Ø,3.2306410379181187,0.4165701521697483
Stine Ry Andersen,#e6801a,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/882-stine-ry-andersen,Enhedslisten – De Rød-Grønne,Ø,5.192483932622972,0.8207031729200217
Stinus Lindgreen,#733280,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/265-stinus-lindgreen,Radikale Venstre,B,1.2798118880166751,-3.5205933045949815
Stén Knuth,#254264,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/543-sten-knuth,"Venstre, Danmarks Liberale Parti",V,-3.02480983096352,0.4449373315077032
Susan Kronborg,#733280,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/266-susan-kronborg,Radikale Venstre,B,0.20584802973388214,-2.0225077643560545
Susanne Damsgaard,#eac73e,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/480-susanne-damsgaard,Dansk Folkeparti,O,-2.663468995914354,2.4513666234146774
Susanne Flydtkjær,#e6801a,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/880-susanne-flydtkjaer,Enhedslisten – De Rød-Grønne,Ø,4.12794564040942,1.506198699023698
Susanne Stenstrop Thorsen,#e07ea8,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/705-susanne-stenstrop-thorsen,SF - Socialistisk Folkeparti,F,4.362065654199134,0.4011000356782286
Susanne Zimmer,#5abe82,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/667-susanne-zimmer,Frie Grønne,Q,4.646044347580341,-0.9251857101072325
Susie Jessen,#7896d2,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/732-susie-jessen,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-2.4555258590136604,3.2585205795500127
Svend Stein Olsen,#3fb2be,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/315-svend-stein-olsen,Liberal Alliance,I,-4.0582514114292865,-1.475336453359368
Sysser Nørholm,#127b7f,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/193-sysser-noerholm,Nye Borgerlige,D,-4.339693177821645,2.6937953304844044
Sólbjørg Jakobsen,#3fb2be,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/351-solbjoerg-jakobsen,Liberal Alliance,I,-3.677933403215862,-2.136615949791426
Søren Egge Rasmussen,#e6801a,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/279-soeren-egge,Enhedslisten – De Rød-Grønne,Ø,5.185240846707758,1.1564332696564057
Søren Espersen,#7896d2,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/725-soeren-espersen,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-2.0060111364378783,4.156498761193974
Søren Gade,#254264,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1010-soeren-gade,"Venstre, Danmarks Liberale Parti",V,-2.8617714321104746,0.33450946548873456
Søren Højbjerg,#127b7f,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/166-soeren-hoejbjerg,Nye Borgerlige,D,-4.755848488779333,2.166829055585172
Søren Lahn Sloth,#e07ea8,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/706-soeren-lahn-sloth,SF - Socialistisk Folkeparti,F,5.22742306174943,0.5386308217649045
Søren Lund Hansen,#eac73e,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1058-soeren-lund-hansen,Dansk Folkeparti,O,-1.7997662570852246,2.085303004113141
Søren Lydeking Pedersen,#8b8474,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/927-soeren-lydeking-pedersen,Kristendemokraterne,K,-0.4946868157068085,-1.026929402142744
Søren Pape Poulsen,#96b226,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/128-soeren-pape-poulsen,Det Konservative Folkeparti,C,-4.833728534815244,-0.9065320519377484
